C_uM,ER_like_Kd,ER_like_E_free,ER_like_occupancy,ER_like_v_rel,Lysosome_Kd,Lysosome_E_free,Lysosome_occupancy,Lysosome_v_rel,window_index
0.01,0.5,0.9933481809959853,0.006651819004014681,0.9933481809959853,81.09050486794658,0.9998781978886555,0.00012180211134449337,0.9998781978886555,0.00665100879841571
0.011919860873910913,0.5,0.9920745310368028,0.007925468963197235,0.9920745310368028,81.09050486794658,0.9998548169315171,0.0001451830684828792,0.9998548169315171,0.007924318319293992
0.014208308325339224,0.5,0.9905577961364159,0.009442203863584075,0.9905577961364159,81.09050486794658,0.9998269485669908,0.0001730514330091637,0.9998269485669907,0.009440569876674717
0.01693610584916737,0.5,0.9887519156643464,0.011248084335653608,0.9887519156643464,81.09050486794658,0.9997937318689409,0.00020626813105906194,0.9997937318689409,0.011245764214319698
0.02018760254679039,0.5,0.9866022441074874,0.013397755892512575,0.9866022441074874,81.09050486794658,0.999754140875126,0.00024585912487395944,0.9997541408751259,0.013394461931973566
0.024063341373555105,0.5,0.984044012978175,0.01595598702182499,0.9840440129781749,81.09050486794658,0.9997069530075535,0.00029304699244647736,0.9997069530075535,0.01595131116781673
0.02868316813342012,0.5,0.981000544757488,0.01899945524251201,0.981000544757488,81.09050486794658,0.9996507114741178,0.0003492885258822298,0.9996507114741178,0.018992818950797786
0.03418993735733626,0.5,0.977381191862951,0.022618808137048974,0.977381191862951,81.09050486794658,0.9995836805146112,0.00041631948538878305,0.9995836805146111,0.022609391486485247
0.040753929658717776,0.5,0.9730789775646591,0.02692102243534089,0.9730789775646591,81.09050486794658,0.9995037921434857,0.0004962078565142747,0.9995037921434857,0.026907664012503076
0.04857811715970673,0.5,0.9679679245983238,0.032032075401676185,0.9679679245983238,81.09050486794658,0.9994085827943451,0.0005914172056549205,0.9994085827943451,0.0320131310811508
0.057904439806024895,0.5,0.9619000738005342,0.03809992619946578,0.9619000738005342,81.09050486794658,0.9992951179803384,0.0007048820196615679,0.9992951179803383,0.03807307024653734
0.06902128664695653,0.5,0.9547022237458533,0.04529777625414666,0.9547022237458532,81.09050486794658,0.9991599027448075,0.0008400972551925179,0.9991599027448074,0.04525972171664922
0.0822724134170047,0.5,0.9461724695920777,0.05382753040792232,0.9461724695920777,81.09050486794658,0.9989987752806968,0.0010012247193031953,0.9989987752806968,0.05377363695389886
0.09806757216915775,0.5,0.9360766948198215,0.06392330518017852,0.9360766948198215,81.09050486794658,0.998806780638354,0.0011932193616459585,0.998806780638354,0.06384703065477713
0.11689518164985782,0.5,0.924145287560313,0.075854712439687,0.924145287560313,81.09050486794658,0.9985780209129089,0.0014219790870910742,0.9985780209129089,0.07574684862494045
0.13933743020968492,0.5,0.9100705344301805,0.08992946556981951,0.9100705344301805,81.09050486794658,0.9983054776985938,0.0016945223014062094,0.9983054776985937,0.0897770780848579
0.1660882782627716,0.5,0.8935054183513643,0.10649458164863568,0.8935054183513643,81.09050486794658,0.9979808019142169,0.0020191980857831027,0.9979808019142169,0.10627954799322448
0.19797491696796393,0.5,0.8740649515770916,0.12593504842290837,0.8740649515770916,81.09050486794658,0.9975940653417439,0.0024059346582561147,0.9975940653417439,0.12563205692521853
0.2359833466782195,0.5,0.8513317576068092,0.14866824239319076,0.8513317576068091,81.09050486794658,0.9971334673832786,0.002866532616721429,0.9971334673832785,0.14824208002730002
0.28128886609642634,0.5,0.8248684180057331,0.17513158199426693,0.824868418005733,81.09050486794658,0.9965849896470615,0.0034150103529384523,0.9965849896470615,0.17453350582863
0.3352924149249558,0.5,0.7942401227513515,0.20575987724864853,0.7942401227513515,81.09050486794658,0.99593199004822,0.004068009951780027,0.99593199004822,0.20492284402032399
0.3996638937983084,0.5,0.7590522704113521,0.24094772958864785,0.7590522704113521,81.09050486794658,0.995154727206085,0.004845272793915001,0.9951547272060849,0.23978027210971636
0.4763938010401343,0.5,0.7190083830838757,0.2809916169161243,0.7190083830838757,81.09050486794658,0.9942298051171932,0.005770194882806834,0.994229805117193,0.2793702405260832
0.5678547829591997,0.5,0.6739928497147102,0.3260071502852898,0.6739928497147102,81.09050486794658,0.9931295275063547,0.006870472493645252,0.9931295275063547,0.32376732712652306
0.6768750009458534,0.5,0.6241782385406731,0.3758217614593269,0.6241782385406731,81.09050486794658,0.9918211510913153,0.0081788489086847,0.9918211510913153,0.37274797205575533
0.806825584030289,0.5,0.5701447279885398,0.42985527201146023,0.5701447279885398,81.09050486794658,0.9902660275083477,0.00973397249165231,0.9902660275083477,0.42567107261830894
0.9617248711152965,0.5,0.5129772408186589,0.4870227591813411,0.5129772408186589,81.09050486794658,0.98841862521477,0.011581374785230025,0.9884186252147699,0.4813823660783251
1.1463626662674242,0.5,0.45428003187813426,0.5457199681218657,0.45428003187813426,81.09050486794658,0.9862254258344194,0.013774574165580589,0.9862254258344194,0.5382029079473328
1.3664483492953259,0.5,0.3960424805960824,0.6039575194039176,0.3960424805960823,81.09050486794658,0.9836236948513104,0.016376305148689596,0.9836236948513103,0.5940669267693134
1.6287874214985514,0.5,0.3403384378634158,0.6596615621365842,0.3403384378634158,81.09050486794658,0.9805401352151506,0.0194598647848494,0.9805401352151506,0.6468246373336438
1.9414919457438817,0.5,0.2889444536505257,0.7110555463494743,0.2889444536505257,81.09050486794658,0.976889445483728,0.023110554516271975,0.976889445483728,0.6946226583814672
2.3142313881085674,0.5,0.24304033118732882,0.7569596688126712,0.2430403311873288,81.09050486794658,0.9725728230330333,0.027427176966966726,0.9725728230330333,0.7361984020192895
2.7585316176291843,0.5,0.20311599343192444,0.7968840065680756,0.20311599343192444,81.09050486794658,0.9674764792703456,0.032523520729654365,0.9674764792703456,0.7709665330613288
3.2881313098424276,0.5,0.1690783084522538,0.8309216915477462,0.1690783084522538,81.09050486794658,0.9614702694110591,0.038529730588940936,0.961470269411059,0.7989065026319043
3.919406774847221,0.5,0.1404548957964411,0.8595451042035589,0.1404548957964411,81.09050486794658,0.9544065857135209,0.04559341428647912,0.9544065857135209,0.8203555081696912
4.671878346444273,0.5,0.11659169702296657,0.8834083029770334,0.11659169702296657,81.09050486794658,0.9461197208082837,0.05388027919171634,0.9461197208082837,0.8358100169723506
