alpha,Kd_ratio,ER_occupancy,Lys_v_rel,window_index
0.0,1.0,0.8915047169858492,0.10849528301415079,0.0967240565778301
0.05,1.3489628825916538,0.8915047169858492,0.14009164049190836,0.1248923583088221
0.1,1.8197008586099837,0.8915047169858492,0.17879994922500986,0.15940099813092662
0.15000000000000002,2.454708915685031,0.8915047169858492,0.22510122577083402,0.20067880457399515
0.2,3.311311214825912,0.8915047169858492,0.27898176477826553,0.24871355925286037
0.25,4.466835921509633,0.8915047169858492,0.33977663786549117,0.3029124753786781
0.30000000000000004,6.025595860743581,0.8915047169858492,0.40609788892510945,0.36203818353473055
0.35000000000000003,8.128305161640997,0.8915047169858492,0.47589351788582857,0.42426131597820577
0.4,10.964781961431857,0.8915047169858492,0.5466514872413901,0.48734237942302905
0.45,14.791083881682088,0.8915047169858492,0.6157174450442486,0.5489150065874231
0.5,19.952623149688808,0.8915047169858492,0.6806533042247418,0.6068056313483615
0.55,26.91534803926918,0.8915047169858492,0.7395456167768977,0.6593084057828135
0.6000000000000001,36.30780547701018,0.8915047169858492,0.7911889389545887,0.705348671105045
0.65,48.97788193684466,0.8915047169858492,0.8351144021172843,0.7445084287103761
0.7000000000000001,66.06934480075968,0.8915047169858492,0.8714856400159441,0.7769335588596459
0.75,89.12509381337463,0.8915047169858492,0.9009184175546884,0.8031730188694316
0.8,120.22644346174144,0.8915047169858492,0.9242854521121514,0.8240048403993813
0.8500000000000001,162.18100973589333,0.8915047169858492,0.9425505634012338,0.8402882732698697
0.9,218.77616239495563,0.8915047169858492,0.9566516833918683,0.8528594882563039
0.9500000000000001,295.120922666639,0.8915047169858492,0.9674326282281243,0.8624707514313902
1.0,398.1071705534977,0.8915047169858492,0.9756132295476618,0.8697637960955386
1.05,537.0317963702538,0.8915047169858492,0.9817849100086277,0.875265878338219
1.1,724.4359600749914,0.8915047169858492,0.9864205859801415,0.8793986053332415
1.1500000000000001,977.2372209558132,0.8915047169858492,0.989890994624801,0.882492491009824
1.2000000000000002,1318.25673855641,0.8915047169858492,0.992482569166043,0.8848028919377617
1.25,1778.2794100389265,0.8915047169858492,0.9944142448685511,0.8865249899382346
1.3,2398.832919019495,0.8915047169858492,0.9958520417021646,0.8878067925974683
1.35,3235.936569296291,0.8915047169858492,0.9969211163008822,0.8887598776450348
1.4000000000000001,4365.1583224016695,0.8915047169858492,0.9977154103869452,0.889467994569434
1.4500000000000002,5888.436553555908,0.8915047169858492,0.9983052091731678,0.889993802969424
1.5,7943.28234724283,0.8915047169858492,0.9987429731938846,0.8903840716588197
