dG_fold,K_fold,frac_U,frac_N,frac_UC,frac_NC,frac_folded,frac_unfolded_pool,free_C,C_uM
-0.20000000000000018,1.3836032369007378,0.417981672001213,0.5783207943460608,5.268630843129868e-05,0.0036448473442947742,0.5819656416903556,0.4180343583096443,0.006302466347273928,0.01
-0.20000000000000018,1.3836032369007378,0.4176544699443835,0.5778680765211109,6.379941876440744e-05,0.00441365411574099,0.582281730636852,0.4177182693631479,0.007637823051780485,0.012115276586285882
-0.20000000000000018,1.3836032369007378,0.4172584888616605,0.577320195813304,7.724854406870975e-05,0.005344066780966806,0.5826642625942707,0.4173357374057292,0.009256677351185183,0.014677992676220698
-0.20000000000000018,1.3836032369007378,0.4167793822825524,0.5766573023996295,9.352094873064455e-05,0.006469794369087388,0.5831270967687169,0.41687290323128307,0.0112194787825712,0.01778279410038923
-0.20000000000000018,1.3836032369007378,0.41619986327055425,0.5758554780187833,0.0001132037673011449,0.0078314549433611,0.5836869329621445,0.41631306703785537,0.013599688189656591,0.021544346900318832
-0.20000000000000018,1.3836032369007378,0.4154991262077131,0.57488593595042,0.00013700364303942817,0.009477934198827304,0.5843638701492473,0.41563612985075254,0.01648663431495863,0.026101572156825358
-0.20000000000000018,1.3836032369007378,0.4146521665145331,0.5737140797774117,0.00016576983298703616,0.011467983875067898,0.5851820636524796,0.4148179363475202,0.01998902289362886,0.03162277660168379
-0.20000000000000018,1.3836032369007378,0.4136289860005587,0.572298403906343,0.00020052119748842305,0.013872088895609713,0.5861704928019528,0.4138295071980471,0.024239258402474748,0.03831186849557287
-0.20000000000000018,1.3836032369007378,0.4123936731337635,0.57058922102526,0.00024247743797672238,0.01677462840299955,0.5873638494282596,0.41263615057174025,0.02939878249515151,0.046415888336127774
-0.20000000000000018,1.3836032369007378,0.4109033512901136,0.5685272068983622,0.00029309481868883226,0.02027634699283516,0.5888035538911974,0.41119644610880246,0.035664690707510924,0.05623413251903491
-0.20000000000000018,1.3836032369007378,0.4091069952248681,0.5660417628318622,0.0003541063641053279,0.02449713557916415,0.5905388984110264,0.4094611015889734,0.043277964962526644,0.06812920690579612
-0.20000000000000018,1.3836032369007378,0.406944128358174,0.5630492132341189,0.00042756610442084826,0.02957909230328623,0.5926283055374052,0.40737169446259486,0.05253376011909475,0.08254041852680181
-0.20000000000000018,1.3836032369007378,0.40434343346737034,0.5594508833650117,0.0005158962620742132,0.03568978690554363,0.5951406702705553,0.40485932972944455,0.06379431683238215,0.1
-0.20000000000000018,1.3836032369007378,0.40122134040765567,0.5551311453016852,0.0006219352184886108,0.04302557907217047,0.5981567243738557,0.4018432756261443,0.07750525157219973,0.12115276586285882
-0.20000000000000018,1.3836032369007378,0.3974807009685084,0.5499555844656024,0.0007489825213278034,0.05181473204456123,0.6017703165101637,0.39822968348983623,0.0942162121963179,0.1467799267622069
-0.20000000000000018,1.3836032369007378,0.39300972836047593,0.5437695322930342,0.000900834903830601,0.06231990444265921,0.6060894367356934,0.3939105632643065,0.11460720165740251,0.1778279410038923
-0.20000000000000018,1.3836032369007378,0.3876814731088996,0.5363973410799199,0.0010818040855878936,0.07483938172559262,0.6112367228055124,0.3887632771944875,0.13952228319200788,0.21544346900318834
-0.20000000000000018,1.3836032369007378,0.38135423342559865,0.5276429517734579,0.0012967028346541074,0.08970611196628926,0.6173490637397472,0.38265093626025276,0.17001290676731023,0.2610157215682536
-0.20000000000000018,1.3836032369007378,0.373873457396123,0.5172925258445459,0.0015507803615449742,0.10728323639778614,0.624575762242332,0.375424237757668,0.20739374925750687,0.31622776601683794
-0.20000000000000018,1.3836032369007378,0.36507587679014536,0.50512016484122,0.0018495819182527881,0.12795437645038166,0.6330745412916017,0.36692545870839816,0.2533147265870943,0.3831186849557287
-0.20000000000000018,1.3836032369007378,0.3547967857626854,0.49089798122322914,0.0021987015840003767,0.15210653143008504,0.6430045126533142,0.3569954873466858,0.30985365034719237,0.46415888336127775
-0.20000000000000018,1.3836032369007378,0.34288146926365143,0.474411910746469,0.002603394110052204,0.18010322587982724,0.6545151366262962,0.34548486337370365,0.3796347052004696,0.5623413251903491
-0.20000000000000018,1.3836032369007378,0.32920165932092,0.45548448142951886,0.0030680159975263427,0.21224584325203472,0.6677303246815536,0.3322696753184463,0.4659782098084002,0.6812920690579611
-0.20000000000000018,1.3836032369007378,0.3136773380552317,0.43400498027562556,0.003595284978485504,0.24872239669065715,0.6827273769662827,0.31727262303371717,0.5730865035988755,0.8254041852680182
-0.20000000000000018,1.3836032369007378,0.29630294881978914,0.4099657190902939,0.00418538977921564,0.2895459423107012,0.6995116614009951,0.30048833859900476,0.7062686679100831,1.0
