dG_fold,K_fold,frac_U,frac_N,frac_UC,frac_NC,frac_folded,frac_unfolded_pool,free_C,C_uM
-3.0,130.36876170681515,0.007574336237958686,0.9874568360937307,7.621558182266056e-07,0.004968065512492354,0.9924249016062231,0.007575098393776913,0.005031172331689421,0.01
-3.0,130.36876170681515,0.0075663598110172385,0.9864169591905293,9.228833711884333e-07,0.0060157581150823555,0.9924327173056117,0.007567282694388427,0.00609859558783234,0.012115276586285882
-3.0,130.36876170681515,0.00755670751204473,0.9851586009258594,1.1173802813582922e-06,0.007283574181814663,0.9924421751076741,0.007557824892326088,0.007393301114124676,0.014677992676220698
-3.0,130.36876170681515,0.007545030162621669,0.9836362393415571,1.3526826055224875e-06,0.00881737781321575,0.9924536171547729,0.007546382845227191,0.00896406360456796,0.01778279410038923
-3.0,130.36876170681515,0.007530907209030594,0.9817950473702458,1.6372646355403942e-06,0.010672408156088059,0.9924674555263339,0.0075325444736661345,0.010870301479595237,0.021544346900318832
-3.0,130.36876170681515,0.00751383278643429,0.9795690760395068,1.981319709608623e-06,0.01291510985434914,0.992484185893856,0.007515814106143898,0.013184480982766613,0.026101572156825358
-3.0,130.36876170681515,0.0074931993780486495,0.9768791241384799,2.397089485152272e-06,0.01562527939398644,0.9925044035324663,0.007495596467533802,0.01599510011821221,0.03162277660168379
-3.0,130.36876170681515,0.007468278813641713,0.9736302610157126,2.8992468251437792e-06,0.018898560923820484,0.9925288219395331,0.0074711780604668565,0.019410408324927256,0.03831186849557287
-3.0,130.36876170681515,0.007438200415022445,0.9697089774335947,3.505336173491439e-06,0.022849316815209235,0.9925582942488039,0.007441705751195937,0.023563066184745046,0.046415888336127774
-3.0,130.36876170681515,0.007401926226749398,0.9649799564265177,4.236272664178431e-06,0.02761388107406864,0.9925938375005863,0.0074061624994135765,0.02861601517230209,0.05623413251903491
-3.0,130.36876170681515,0.007358223506269614,0.9592824868743491,5.1168964537589625e-06,0.03335417272292748,0.9926366595972766,0.007363340402723372,0.034769917286414875,0.06812920690579612
-3.0,130.36876170681515,0.007305635045162313,0.9524265943197233,6.1765707577863625e-06,0.04026159406435665,0.99268818838408,0.007311811615920099,0.04227264789168739,0.08254041852680181
-3.0,130.36876170681515,0.007242448532883678,0.9441890469573851,7.4497991811502235e-06,0.04856105471055001,0.9927501016679352,0.007249898332064828,0.05143149549026886,0.1
-3.0,130.36876170681515,0.0071666671697870644,0.9343095244900251,8.976817875114297e-06,0.058514831522312724,0.9928243560123379,0.007175643987662178,0.062628957522671,0.12115276586285882
-3.0,130.36876170681515,0.007075985240480869,0.9224874336571914,1.0804087741964682e-05,0.07042577701458581,0.9929132106717773,0.007086789328222833,0.07634334565987916,0.1467799267622069
-3.0,130.36876170681515,0.006967774566353482,0.9083801420677443,1.2984567420963193e-05,0.08463909879848129,0.9930192408662256,0.006980759133774445,0.09317585763799002,0.1778279410038923
-3.0,130.36876170681515,0.006839090886807346,0.891603810113438,1.5577584704441057e-05,0.10154152141505023,0.9931453315284883,0.0068546684715117875,0.11388637000343368,0.21544346900318834
-3.0,130.36876170681515,0.006686713456304929,0.8717385531867716,1.8648038644663182e-05,0.12155608531827873,0.9932946385050504,0.0067053614949495926,0.13944098821133027,0.2610157215682536
-3.0,130.36876170681515,0.006507236480957169,0.8483403621557994,2.2264557077338437e-05,0.14513013680616596,0.9934704989619654,0.006529501038034507,0.17107536465359469,0.31622776601683794
-3.0,130.36876170681515,0.006297236912122407,0.8209629784078465,2.649611552695684e-05,0.17271328856450407,0.9936762669723506,0.0063237330276493635,0.21037890027569767,0.3831186849557287
-3.0,130.36876170681515,0.006053547830541794,0.789193534600711,3.140652842905944e-05,0.20472151104031827,0.9939150456410293,0.006084954358970853,0.2594059657925305,0.46415888336127775
-3.0,130.36876170681515,0.005773666190879686,0.752705711813489,3.704623294739176e-05,0.24148357576268406,0.9941892875761731,0.0058107124238270785,0.32082070319471767,0.5623413251903491
-3.0,130.36876170681515,0.00545631050231387,0.7113324436745498,4.3441051531718535e-05,0.2831678047716046,0.9945002484461545,0.005499751553845589,0.39808082323482497,0.6812920690579611
-3.0,130.36876170681515,0.005102106734007429,0.6651553370085515,5.057837070327914e-05,0.32969197788673793,0.9948473148952894,0.005152685104710708,0.495661629010577,0.8254041852680182
-3.0,130.36876170681515,0.0047143082898572445,0.6145985340528624,5.839263333342672e-05,0.380628765023947,0.9952272990768094,0.004772700923190671,0.6193128423427197,1.0
