rmsf_152,rmsf_module_mean,rmsf_patch_mean,E_local_boltzmann,k152_eff,k_clamp
1.2409371458700076,1.2409371458700076,1.2409371458700076,14.091619729055422,1.2,0.0
1.1387620240280325,1.1559336872980326,1.0425957425353996,14.084658632623809,1.425,0.5
1.058274753807089,1.1018895780602878,0.9164928209806615,14.078172132819834,1.65,1.0
0.9927497166960059,1.0636604107457208,0.8272914305800049,14.072088765716959,1.875,1.5
0.9380603087526637,1.0347850987379201,0.7599157025618039,14.06635802037936,2.1,2.0
0.8915155635209068,1.0119814755845535,0.7067072485372816,14.060940561645197,2.325,2.5
0.8512758590699575,0.9933821428461279,0.6633088054809549,14.055804161574269,2.55,3.0
0.8160352403625186,0.9778360379787205,0.6270345607903379,14.050921755608716,2.775,3.5
0.7848375628115668,0.9645899072695565,0.5961269224689552,14.046270316169863,3.0,4.0
0.7569645624711961,0.9531273742174399,0.5693810120140163,14.041830078405443,3.2249999999999996,4.5
0.7318648010093952,0.9430810363945785,0.5459395570940065,14.037583951048001,3.45,5.0
0.7091069404971471,0.9341814027417021,0.525173745237295,14.033517047829466,3.675,5.5
0.6883480783172689,0.9262257126576625,0.5066104683745359,14.029616309375234,3.9000000000000004,6.0
0.6693117224568698,0.9190580915306724,0.48988601907822565,14.025870197290201,4.125,6.5
0.6517721201092636,0.9125564730468042,0.47471557594919983,14.022268446771678,4.35,7.0
0.635542881400115,0.9066237201761157,0.46087248591759317,14.018801866587129,4.575,7.5
0.6204685729350038,0.901181439408922,0.4481738307941414,14.015462177136317,4.8,8.0
