t,mode,k_leak,Golgi,Endosome,Lysosome
20.0,PC_stabilized_cargo,0.12,6.597051609624457e-09,1.6831292995300956e-06,0.7246362737711978
0.0,WT_like,0.08,1.0,0.0,0.0
1.0,WT_like,0.08,0.406591078957681,0.37627399314411114,0.14398999619021138
2.0,WT_like,0.08,0.1653163054879712,0.341374827191512,0.36831929246098866
3.0,WT_like,0.08,0.06721613501765179,0.23311680306113722,0.5425310547714685
4.0,WT_like,0.08,0.027329480860192212,0.14200384359579946,0.6549194849072957
5.0,WT_like,0.08,0.011111923110298844,0.08137895719547478,0.7214207678941277
6.0,WT_like,0.08,0.004518008806711197,0.044924281986242764,0.7588758938570231
7.0,WT_like,0.08,0.0018369820754610099,0.024191781241970942,0.7793198330682124
8.0,WT_like,0.08,0.0007469005240876121,0.012803055550245326,0.7902431056449006
9.0,WT_like,0.08,0.00030368308996283955,0.006691011621893418,0.7959916075876642
10.0,WT_like,0.08,0.00012347483520919344,0.003464187098860561,0.7989833577722282
11.0,WT_like,0.08,5.020376647182781e-05,0.0017808388177056127,0.8005274386636783
12.0,WT_like,0.08,2.0412403577519924e-05,0.0009104843812929074,0.8013192952756689
13.0,WT_like,0.08,8.299501194703456e-06,0.0004635233820288893,0.8017233888598184
14.0,WT_like,0.08,3.374503145565041e-06,0.0002351903069447932,0.8019288097533811
15.0,WT_like,0.08,1.3720428749013784e-06,0.00011902001742025744,0.8020329192015743
16.0,WT_like,0.08,5.578603928823499e-07,6.0104775656469005e-05,0.8020855563259769
17.0,WT_like,0.08,2.2682105904979047e-07,3.030193992814252e-05,0.8021121184853095
18.0,WT_like,0.08,9.222341912937818e-08,1.5256303299705937e-05,0.8021255020130619
19.0,WT_like,0.08,3.7497219488980323e-08,7.672915634509787e-06,0.8021322371354934
20.0,WT_like,0.08,1.524603492993749e-08,3.855627926309234e-06,0.8021356231790738
