f_folded,mode,k_export,k_ERAD,eta_export
0.1,no_shield,0.1,2.4,0.04
0.1,PC_shield_ERAD,0.1,1.3875,0.06722689075630252
0.12428571428571429,no_shield,0.12428571428571429,2.339285714285714,0.050449405624818804
0.12428571428571429,PC_shield_ERAD,0.12428571428571429,1.3541071428571427,0.0840681241695857
0.14857142857142858,no_shield,0.14857142857142858,2.2785714285714285,0.06121247792819306
0.14857142857142858,PC_shield_ERAD,0.14857142857142858,1.3207142857142857,0.1011181332036947
0.17285714285714288,no_shield,0.17285714285714288,2.217857142857143,0.07230355542276666
0.17285714285714288,PC_shield_ERAD,0.17285714285714288,1.2873214285714285,0.11838082426317723
0.19714285714285715,no_shield,0.19714285714285715,2.157142857142857,0.08373786407766991
0.19714285714285715,PC_shield_ERAD,0.19714285714285715,1.2539285714285713,0.13586020182131434
0.22142857142857142,no_shield,0.22142857142857142,2.0964285714285715,0.09553158705701077
0.22142857142857142,PC_shield_ERAD,0.22142857142857142,1.2205357142857143,0.15356037151702787
0.24571428571428572,no_shield,0.24571428571428572,2.0357142857142856,0.10770194113963684
0.24571428571428572,PC_shield_ERAD,0.24571428571428572,1.187142857142857,0.17148554336989033
0.27,no_shield,0.27,1.9749999999999999,0.12026726057906459
0.27,PC_shield_ERAD,0.27,1.1537499999999998,0.18964003511852506
0.29428571428571426,no_shield,0.29428571428571426,1.9142857142857141,0.1332470892626132
0.29428571428571426,PC_shield_ERAD,0.29428571428571426,1.1203571428571428,0.20802827568795756
0.3185714285714286,no_shield,0.3185714285714286,1.8535714285714284,0.1466622821440316
0.3185714285714286,PC_shield_ERAD,0.3185714285714286,1.0869642857142856,0.2266548087917673
0.34285714285714286,no_shield,0.34285714285714286,1.7928571428571427,0.1605351170568562
0.34285714285714286,PC_shield_ERAD,0.34285714285714286,1.0535714285714286,0.24552429667519182
0.3671428571428571,no_shield,0.3671428571428571,1.7321428571428572,0.17488941816944537
0.3671428571428571,PC_shield_ERAD,0.3671428571428571,1.0201785714285714,0.2646415240056635
0.39142857142857146,no_shield,0.39142857142857146,1.6714285714285713,0.18975069252077564
0.39142857142857146,PC_shield_ERAD,0.39142857142857146,0.9867857142857143,0.2840114019175952
0.4157142857142857,no_shield,0.4157142857142857,1.6107142857142858,0.2051462812830455
0.4157142857142857,PC_shield_ERAD,0.4157142857142857,0.9533928571428572,0.3036389722185992
0.43999999999999995,no_shield,0.43999999999999995,1.55,0.22110552763819094
0.43999999999999995,PC_shield_ERAD,0.43999999999999995,0.92,0.3235294117647059
0.4642857142857143,no_shield,0.4642857142857143,1.489285714285714,0.23765996343692875
0.4642857142857143,PC_shield_ERAD,0.4642857142857143,0.8866071428571428,0.34368803701255785
0.48857142857142855,no_shield,0.48857142857142855,1.4285714285714286,0.2548435171385991
0.48857142857142855,PC_shield_ERAD,0.48857142857142855,0.8532142857142858,0.3641203087569869
0.5128571428571429,no_shield,0.5128571428571429,1.3678571428571427,0.27269274591720477
0.5128571428571429,PC_shield_ERAD,0.5128571428571429,0.8198214285714286,0.38483183706284335
0.5371428571428571,no_shield,0.5371428571428571,1.307142857142857,0.29124709527498066
0.5371428571428571,PC_shield_ERAD,0.5371428571428571,0.7864285714285715,0.40582838640043173
0.5614285714285714,no_shield,0.5614285714285714,1.2464285714285714,0.31054919004346104
0.5614285714285714,PC_shield_ERAD,0.5614285714285714,0.7530357142857144,0.4271158809944301
0.5857142857142857,no_shield,0.5857142857142857,1.1857142857142855,0.3306451612903226
0.5857142857142857,PC_shield_ERAD,0.5857142857142857,0.7196428571428571,0.4487004103967168
0.61,no_shield,0.61,1.125,0.3515850144092219
0.61,PC_shield_ERAD,0.61,0.68625,0.4705882352941176
0.6342857142857142,no_shield,0.6342857142857142,1.0642857142857143,0.37342304457527337
0.6342857142857142,PC_shield_ERAD,0.6342857142857142,0.6528571428571429,0.4927857935627081
0.6585714285714286,no_shield,0.6585714285714286,1.0035714285714286,0.396218306832832
0.6585714285714286,PC_shield_ERAD,0.6585714285714286,0.6194642857142857,0.5152997065809697
0.6828571428571428,no_shield,0.6828571428571428,0.942857142857143,0.4200351493848857
0.6828571428571428,PC_shield_ERAD,0.6828571428571428,0.5860714285714286,0.5381367858148044
0.7071428571428571,no_shield,0.7071428571428571,0.8821428571428573,0.444943820224719
0.7071428571428571,PC_shield_ERAD,0.7071428571428571,0.5526785714285716,0.5613040396881643
0.7314285714285714,no_shield,0.7314285714285714,0.8214285714285715,0.47102115915363385
0.7314285714285714,PC_shield_ERAD,0.7314285714285714,0.5192857142857142,0.584808680753855
0.7557142857142857,no_shield,0.7557142857142857,0.7607142857142858,0.4983513895430994
0.7557142857142857,PC_shield_ERAD,0.7557142857142857,0.48589285714285724,0.6086581331799222
0.7799999999999999,no_shield,0.7799999999999999,0.7000000000000003,0.5270270270270269
0.7799999999999999,PC_shield_ERAD,0.7799999999999999,0.4525000000000001,0.6328600405679513
0.8042857142857143,no_shield,0.8042857142857143,0.6392857142857143,0.5571499257793172
0.8042857142857143,PC_shield_ERAD,0.8042857142857143,0.4191071428571429,0.6574222741205663
0.8285714285714285,no_shield,0.8285714285714285,0.5785714285714287,0.5888324873096445
0.8285714285714285,PC_shield_ERAD,0.8285714285714285,0.3857142857142858,0.6823529411764705
0.8528571428571429,no_shield,0.8528571428571429,0.5178571428571428,0.6221990620114644
0.8528571428571429,PC_shield_ERAD,0.8528571428571429,0.35232142857142856,0.7076603941324641
0.8771428571428571,no_shield,0.8771428571428571,0.4571428571428572,0.6573875802997858
0.8771428571428571,PC_shield_ERAD,0.8771428571428571,0.31892857142857145,0.7333532397730667
0.9014285714285714,no_shield,0.9014285714285714,0.3964285714285716,0.694551458447991
0.9014285714285714,PC_shield_ERAD,0.9014285714285714,0.28553571428571434,0.7594403490296374
0.9257142857142857,no_shield,0.9257142857142857,0.33571428571428574,0.7338618346545865
0.9257142857142857,PC_shield_ERAD,0.9257142857142857,0.2521428571428571,0.7859308671922377
0.95,no_shield,0.95,0.27500000000000013,0.7755102040816325
0.95,PC_shield_ERAD,0.95,0.21875000000000006,0.8128342245989305
