C_uM,pH,Kd_uM,E_free,EC,v_rel,occupancy
0.0,4.5,145.87135070005846,1.0,0.0,1.0,0.0
0.0,4.6,119.94164595097462,1.0,0.0,1.0,0.0
0.0,4.7,98.62113680574267,1.0,0.0,1.0,0.0
0.0,4.8,81.09050486794658,1.0,0.0,1.0,0.0
0.0,4.9,66.6760716081662,1.0,0.0,1.0,0.0
0.0,5.0,54.823909807159254,1.0,0.0,1.0,0.0
0.0,5.1,45.078556880297896,1.0,0.0,1.0,0.0
0.0,5.2,37.06551206504589,1.0,0.0,1.0,0.0
0.0,5.3,30.476844862008484,1.0,0.0,1.0,0.0
0.0,5.4,25.05936168136361,1.0,0.0,1.0,0.0
0.0,5.5,20.60487595486652,1.0,0.0,1.0,0.0
0.0,5.6,16.942207806960145,1.0,0.0,1.0,0.0
0.0,5.7,13.930605843148854,1.0,0.0,1.0,0.0
0.0,5.8,11.454338263838874,1.0,0.0,1.0,0.0
0.0,5.9,9.418245447449001,1.0,0.0,1.0,0.0
0.0,6.0,7.74408309456241,1.0,0.0,1.0,0.0
0.0,6.1,6.367515405083318,1.0,0.0,1.0,0.0
0.0,6.2,5.235642740254498,1.0,0.0,1.0,0.0
0.0,6.3,4.304968760923007,1.0,0.0,1.0,0.0
0.0,6.4,3.5397289219206893,1.0,0.0,1.0,0.0
0.0,6.5,2.9105160888543584,1.0,0.0,1.0,0.0
0.0,6.6,2.393150461613195,1.0,0.0,1.0,0.0
0.0,6.699999999999999,1.9677503772788911,1.0,0.0,1.0,0.0
0.0,6.8,1.617968284648143,1.0,0.0,1.0,0.0
0.0,6.9,1.3303625298994048,1.0,0.0,1.0,0.0
0.0,7.0,1.093880811974777,1.0,0.0,1.0,0.0
0.0,7.1,0.8994354575643952,1.0,0.0,1.0,0.0
0.0,7.199999999999999,0.7395541940841053,1.0,0.0,1.0,0.0
0.0,7.3,0.6080930003231846,1.0,0.0,1.0,0.0
0.0,7.4,0.5,1.0,0.0,1.0,0.0
0.0,7.5,0.4111213249735359,1.0,0.0,1.0,0.0
0.0,7.6,0.33804148769599135,1.0,0.0,1.0,0.0
