C_uM,ER_like_v_rel,ER_like_occupancy,Lysosome_v_rel,Lysosome_occupancy,window_index
0.01,0.9904805471869241,0.009519452813075868,0.9904805471869241,0.009519452813075868,0.00942883283121549
0.011919860873910913,0.9886539520331973,0.01134604796680272,0.9886539520331973,0.01134604796680272,0.01121731516233773
0.014208308325339224,0.986477105190029,0.013522894809971042,0.986477105190029,0.013522894809971042,0.0133400261259295
0.01693610584916737,0.9838829475016058,0.016117052498394235,0.9838829475016058,0.016117052498394235,0.01585729311715824
0.02018760254679039,0.9807916255554903,0.019208374444509735,0.9807916255554903,0.019208374444509735,0.01883941279570924
0.024063341373555105,0.9771080709662836,0.022891929033716396,0.9771080709662836,0.022891929033716396,0.02236788861883169
0.02868316813342012,0.9727191312495187,0.02728086875048119,0.9727191312495187,0.02728086875048119,0.026536622950700205
0.03418993735733626,0.9674901740692243,0.03250982593077567,0.9674901740692243,0.03250982593077567,0.03145293714872634
0.040753929658717776,0.9612610756963856,0.038738924303614364,0.9612610756963856,0.038738924303614364,0.0372382200474132
0.04857811715970673,0.9538414937779168,0.04615850622208317,0.9538414937779168,0.04615850622208317,0.044027898525429085
0.057904439806024895,0.9450053154939895,0.054994684506010416,0.9450053154939895,0.054994684506010416,0.05197026918209479
0.06902128664695653,0.9344841677275043,0.06551583227249563,0.9344841677275043,0.06551583227249563,0.06122350799413785
0.0822724134170047,0.9219598813000858,0.07804011869991423,0.9219598813000858,0.07804011869991423,0.07194985857321752
0.09806757216915775,0.9070558265630424,0.09294417343695754,0.9070558265630424,0.09294417343695754,0.0843055540610783
0.11689518164985782,0.8893271013800957,0.1106728986199042,0.8893271013800957,0.1106728986199042,0.0984244081309726
0.13933743020968492,0.86824969078842,0.13175030921157993,0.86824969078842,0.13175030921157993,0.114392165234233
0.1660882782627716,0.8432090014330389,0.1567909985669611,0.8432090014330389,0.1567909985669611,0.1322075813353363
0.19797491696796393,0.8134887481574022,0.1865112518425977,0.8134887481574022,0.1865112518425977,0.15172480477870479
0.2359833466782195,0.7782623418408158,0.22173765815918423,0.7782623418408158,0.22173765815918423,0.17257006911326497
0.28128886609642634,0.7365913748451802,0.26340862515481983,0.7365913748451802,0.26340862515481983,0.19402452134886747
0.3352924149249558,0.6874410901247977,0.3125589098752023,0.6874410901247977,0.3125589098752023,0.21486583773282747
0.3996638937983084,0.6297346299905885,0.3702653700094115,0.6297346299905885,0.3702653700094115,0.2331689257812051
0.4763938010401343,0.5624957581680019,0.43750424183199815,0.5624957581680019,0.43750424183199815,0.24609428021100666
0.5678547829591997,0.485196292923391,0.5148037070766089,0.485196292923391,0.5148037070766089,0.24978085025678992
0.6768750009458534,0.39857264489759514,0.6014273551024049,0.39857264489759514,0.6014273551024049,0.23971249163693067
0.806825584030289,0.30637376711264497,0.693626232887355,0.30637376711264497,0.693626232887355,0.21250888193785175
