barrier_reduction_kcal,k_productive,k_trap,frac_productive_nucleation,partition_ratio_prod_over_trap
0.0,0.0010162681198785833,0.011603662064716662,0.0805288226648916,0.08758167156287298
0.1,0.0011954022990306827,0.011603662064716662,0.09339763165943558,0.10301939959674895
0.2,0.0014061118602230332,0.011603662064716662,0.10808119098269044,0.12117828426756823
0.30000000000000004,0.0016539624903374377,0.011603662064716662,0.12475556865176957,0.14253797474563254
0.4,0.0019455009212491117,0.011603662064716662,0.14358827355344844,0.16766266635468557
0.5,0.0022884278553432814,0.011603662064716662,0.16472883982983944,0.19721600323933255
0.6000000000000001,0.0026918013720336354,0.011603662064716662,0.18829759412441593,0.23197860787575114
0.7000000000000001,0.0031662761880667796,0.011603662064716662,0.2143730145567863,0.2728687004505671
0.8,0.003724385091439581,0.011603662064716662,0.2429784468626029,0.3209663527486159
0.9,0.004380869982730921,0.011603662064716662,0.2740693296323592,0.377542017192302
1.0,0.005153071267980658,0.011603662064716662,0.3075224249063807,0.4440900845992093
1.1,0.006061385888547775,0.011603662064716662,0.34312875371660984,0.5223683570533025
1.2000000000000002,0.007129806086358221,0.011603662064716662,0.38059189194762794,0.6144444785269879
1.3,0.008386553135499162,0.011603662064716662,0.41953290905085494,0.7227505496734703
1.4000000000000001,0.009864822779559822,0.011603662064716662,0.4595025150174858,0.8501473693857269
1.5,0.011603662064716662,0.011603662064716662,0.5,1.0
1.6,0.013649000729251088,0.011603662064716662,0.5404974849825146,1.1762666521247376
1.7000000000000002,0.01605486439264428,0.011603662064716662,0.5804670909491454,1.3836032369007385
1.8,0.01888480158945235,0.011603662064716662,0.6194081080523726,1.6274863473381824
1.9000000000000001,0.02221356234166504,0.011603662064716662,0.6568712462833906,1.9143579171622016
2.0,0.026129072607394443,0.011603662064716662,0.6924775750936196,2.251795378188865
2.1,0.03073475675902405,0.011603662064716662,0.7259306703676411,2.648711810772174
2.2,0.03615226943680538,0.011603662064716662,0.7570215531373974,3.1155913741002372
2.3000000000000003,0.04252470893714253,0.011603662064716662,0.7856269854432142,3.6647662350015966
2.4000000000000004,0.05002039701407148,0.011603662064716662,0.8117024058755843,4.310742310065101
2.5,0.05883732493369208,0.011603662064716662,0.8352711601701608,5.070582425232733
2.6,0.06920838321972922,0.011603662064716662,0.8564117264465517,5.96435701365103
2.7,0.08140751322883677,0.011603662064716662,0.8752444313482306,7.0156742565239965
2.8000000000000003,0.0957569430434843,0.011603662064716662,0.8919188090173097,8.252303670119204
2.9000000000000004,0.11263569881145827,0.011603662064716662,0.9066023683405645,9.706909610367786
3.0,0.13248961635068432,0.011603662064716662,0.9194711773351085,11.417914069864759
